"CODE","Region","Production mode","Year","Treatment","Treatment_Group","Rendement","Proteine","TGW.g.","Nombre.Plants.avg"
"BT05","Chablais","Organic","2023","Tillecur","Tillecur",NA,13.3,34.22,49
"BT05","Chablais","Organic","2023","Thermoseed","ThermoSeed",NA,13.5,33.4,44
"BT05","Chablais","Organic","2023","Evonta","E-beam",NA,13.6,35.11,45.5
"BT05","Chablais","Organic","2023","Temoin non traite","Control",NA,14.1,33.79,47
"BT12","Chablais","Organic","2023","Tillecur","Tillecur",NA,11.9,50.1,49.25
"BT12","Chablais","Organic","2023","Evonta","E-beam",NA,12,49.62,50.75
"BT12","Chablais","Organic","2023","Temoin non traite","Control",NA,12.3,49.3,50.25
"BT12","Chablais","Organic","2023","Thermoseed","ThermoSeed",NA,12.9,48.58,50
"BF04","Nord","Conventional without fungicide ","2024","Evonta","E-beam",16.52,12.7,26.42,57.75
"BF04","Nord","Conventional without fungicide ","2024","Tillecur","Tillecur",16.52,13.1,27.04,51
"BT09","Nord","Organic","2024","Thermoseed","ThermoSeed",17.9,NA,NA,72.75
"BT09","Nord","Organic","2024","Temoin non traite","Control",18,NA,NA,71
"BT09","Nord","Organic","2024","Nutrimieux + Vitalsel","Other alternatives",18.1,NA,NA,76.25
"BT09","Nord","Organic","2024","Evonta","E-beam",18.2,NA,NA,73.75
"BF04","Nord","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",18.59,12,27.4,55.5
"BF04","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",18.59,12.5,29.48,59.5
"BT09","Nord","Organic","2023","Evonta","E-beam",20,12.1,41.1,92.75
"BT09","Nord","Organic","2023","Temoin non traite","Control",20.25,12.9,42.01,92
"BT09","Nord","Organic","2023","Thermoseed","ThermoSeed",20.5,11.9,40.73,99.25
"BT09","Nord","Organic","2023","Nutrimieux + Vitalsel","Other alternatives",20.5,12.8,42.41,87
"BF01","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",20.66,11.8,33.31,49
"BF01","Nord","Conventional without fungicide ","2024","Conventionnel","Synthetic",20.66,13.3,26.44,61.5
"BF01","Nord","Conventional without fungicide ","2024","Evonta","E-beam",20.66,13.5,30.88,44.5
"BT19","Nord","Organic","2024","Temoin non traite","Control",21,13.4,33.36,86.75
"BT05","Chablais","Organic","2022","Evonta","E-beam",22.5,14.5,27.93,NA
"BF01","Nord","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",22.72,13.3,28.83,59
"BF04","Nord","Conventional without fungicide ","2024","Conventionnel","Synthetic",22.72,12.1,30.67,52.5
"BF10","Centre - Pied du Jura","Organic","2024","Evonta","E-beam",22.72,13.1,37.15,48
"BT08","Chablais","Organic","2024","Tillecur","Tillecur",23,12.8,41.97,36
"BT07","Chablais","Conventional with fungicide ","2023","Conventionnel","Synthetic",23.3,13.1,38.19,41.75
"BT05","Chablais","Organic","2022","Thermoseed","ThermoSeed",23.7,14.4,26.17,NA
"BT07","Chablais","Conventional with fungicide ","2023","Evonta","E-beam",23.7,12.6,38.06,48
"BT07","Chablais","Conventional with fungicide ","2023","Temoin non traite","Control",24.1,13.7,37.72,56.5
"BT07","Chablais","Conventional with fungicide ","2023","Tillecur","Tillecur",24.3,13.9,38.17,44.5
"BT07","Chablais","Conventional with fungicide ","2023","Thermoseed","ThermoSeed",24.3,14.2,38.18,40
"BF01","Nord","Conventional without fungicide ","2024","Tillecur","Tillecur",24.79,12.3,27.77,39.75
"BF11","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",24.79,13.7,30.48,50
"BF10","Centre - Pied du Jura","Organic","2024","Acide fluvique et humique","Other alternatives",28.61,10.7,41.03,41.25
"BF10","Centre - Pied du Jura","Organic","2024","Thermoseed","ThermoSeed",29.6,13.3,37.07,55
"BF01","Nord","Conventional without fungicide ","2023","Evonta","E-beam",29.63,9.7,41.43,33.25
"BT05","Chablais","Organic","2022","Tillecur","Tillecur",30.06,16.4,27.04,NA
"BT16","Nord","Conventional without fungicide ","2024","Conventionnel","Synthetic",30.36,13.7,36.59,54.5
"BT16","Nord","Conventional without fungicide ","2024","Evonta","E-beam",30.5,12.7,36,53.25
"BT16","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",31,13.5,35.97,57
"BT18","Broye","Organic","2024","Evonta","E-beam",31,11.7,36.17,74.25
"BT18","Broye","Organic","2024","Temoin non traite","Control",31,12.8,38.34,67.25
"BT19","Nord","Organic","2024","Thermoseed","ThermoSeed",31,13.1,34.21,84.75
"BF10","Centre - Pied du Jura","Organic","2024","Temoin non traite","Control",32.14,12.6,37.41,53.5
"BF01","Nord","Conventional without fungicide ","2023","Thermoseed","ThermoSeed",32.55,10.2,43.27,33.5
"BT05","Chablais","Organic","2022","Temoin non traite","Control",32.68,13.9,29,NA
"BF11","Nord","Conventional without fungicide ","2024","Conventionnel","Synthetic",33.05,11.9,33.93,51
"BT01","Chablais","Conventional with fungicide ","2024","Tillecur","Tillecur",33.17,12,30,51
"BT16","Nord","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",33.33,14,34.01,54.25
"BT01","Chablais","Conventional with fungicide ","2024","Conventionnel","Synthetic",33.41,11.4,31.44,45.75
"BF03","Nord","Conventional without fungicide ","2024","Evonta","E-beam",33.5,12.6,37.37,44.5
"BT20","Centre - Pied du Jura","Conventional without fungicide ","2024","Tillecur","Tillecur",34.23,13.1,34.76,51.5
"BF05","Nord","Conventional without fungicide ","2024","Conventionnel","Synthetic",34.31,12.1,34.45,40.25
"BF01","Nord","Conventional without fungicide ","2023","Conventionnel","Synthetic",34.41,10.1,42,44
"BF01","Nord","Conventional without fungicide ","2023","Temoin non traite","Control",34.61,10.6,43.65,34.25
"BT19","Nord","Organic","2024","Taux vibratoire","Other alternatives",35,12.5,34.68,85
"BF11","Nord","Conventional without fungicide ","2024","Evonta","E-beam",35.12,12.2,35.3,55
"BF11","Nord","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",35.12,12.5,35.68,48.75
"BF11","Nord","Conventional without fungicide ","2024","Tillecur","Tillecur",35.12,12.6,34.15,53.5
"BF01","Nord","Conventional without fungicide ","2023","Tillecur","Tillecur",35.15,9.6,42.58,41.5
"BF09","Centre - Pied du Jura","Conventional without fungicide ","2024","Temoin non traite","Control",35.55,12.8,37.07,43
"BT01","Chablais","Conventional with fungicide ","2024","Thermoseed","ThermoSeed",35.6,11.1,31.53,46.25
"BT18","Broye","Organic","2024","Tillecur","Tillecur",36,12.4,38.3,68
"BF09","Centre - Pied du Jura","Conventional without fungicide ","2024","Conventionnel","Synthetic",36.72,12.6,37.17,44
"BF05","Nord","Conventional without fungicide ","2024","Tillecur","Tillecur",36.76,12.7,34.08,38.75
"BF09","Centre - Pied du Jura","Conventional without fungicide ","2024","Evonta","E-beam",36.99,11.4,37.28,40
"BT19","Nord","Organic","2024","Evonta","E-beam",37,13.2,30.93,85.75
"BT19","Nord","Organic","2023","Enrobage champignons/bacteries","Other alternatives",37.07,10.9,47.6,48.25
"BT03","La Cote","Organic","2024","Temoin non traite","Control",37.1,8.6,38.42,37.75
"BT16","Nord","Conventional without fungicide ","2024","Tillecur","Tillecur",37.1,12.9,36.23,62.75
"BF10","Centre - Pied du Jura","Organic","2022","Vinaigre","Other alternatives",37.5,12.1,45.28,33.75
"BT11","Nord","Conventional without fungicide ","2023","Temoin non traite","Control",37.8,12.9,37.55,64
"BT19","Nord","Organic","2022","Thermoseed","ThermoSeed",37.84,9.3,42.08,77.75
"BF03","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",38,13.7,36.34,56.5
"BF08","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",38,9.7,44.48,39.5
"BT10","Broye","Organic","2024","Tillecur","Tillecur",38,10.9,38.17,51.75
"BT19","Nord","Organic","2022","Evonta","E-beam",38.02,9.8,42.12,82.5
"BT01","Chablais","Conventional with fungicide ","2024","Evonta","E-beam",38.29,11,30.94,43
"BT19","Nord","Organic","2022","Bacterie","Other alternatives",38.37,9.3,43.39,57.75
"BF03","Nord","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",39,13.1,36.69,56.75
"BF10","Centre - Pied du Jura","Organic","2023","Ferment measse/zeolithe","Other alternatives",39,10,48.07,49.25
"BT18","Broye","Organic","2024","Thermoseed","ThermoSeed",39,12.9,39.47,73.5
"BF09","Centre - Pied du Jura","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",39.06,12.6,38.87,42.25
"BF07","Broye","Organic","2023","Evonta","E-beam",39.16,10.6,47.56,38.25
"BF07","Broye","Organic","2023","Thermoseed","ThermoSeed",39.16,11.3,49.59,43.75
"BF09","Centre - Pied du Jura","Conventional without fungicide ","2024","Tillecur","Tillecur",39.42,12.5,38.49,42
"BT11","Nord","Conventional without fungicide ","2023","Evonta","E-beam",39.45,11.8,37.45,63
"BT11","Nord","Conventional without fungicide ","2023","Thermoseed","ThermoSeed",39.9,12.4,39.94,64
"BF03","Nord","Conventional without fungicide ","2024","Conventionnel","Synthetic",40,13.9,34.58,51.75
"BF10","Centre - Pied du Jura","Organic","2022","Thermoseed","ThermoSeed",40,11.5,39.42,35.5
"BF10","Centre - Pied du Jura","Organic","2022","Evonta","E-beam",40,11.9,38.25,35.25
"BF10","Centre - Pied du Jura","Organic","2022","Temoin non traite","Control",40,12.5,36.26,35.5
"BT10","Broye","Organic","2024","Thermoseed","ThermoSeed",40,11.1,39.18,54
"BT10","Broye","Organic","2024","Evonta","E-beam",40,11.6,36.47,58
"BF05","Nord","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",40.03,14.2,33.55,39.25
"BF03","Nord","Conventional without fungicide ","2024","Tillecur","Tillecur",40.25,13.9,37.43,53.75
"BF07","Broye","Organic","2023","Temoin non traite","Control",40.41,10.8,48.19,41
"BT03","La Cote","Organic","2024","Evonta","E-beam",40.7,9.7,37.55,38
"BF07","Broye","Organic","2023","Tillecur","Tillecur",40.83,11.1,48.87,38.5
"BT20","Centre - Pied du Jura","Conventional without fungicide ","2024","Conventionnel","Synthetic",40.98,13.2,33.2,55.75
"BT19","Nord","Organic","2022","Temoin non traite","Control",41.31,10.1,43.65,66
"BT20","Centre - Pied du Jura","Conventional without fungicide ","2024","Evonta","E-beam",41.32,13.1,32.02,60.5
"BF05","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",41.66,12.5,32.72,40.25
"BF07","Broye","Organic","2024","T-Gro easy flow","Other alternatives",41.66,12.9,33.91,41.5
"BT11","Nord","Conventional without fungicide ","2023","Tillecur","Tillecur",41.7,11.6,38.85,60
"BT10","Broye","Organic","2024","Temoin non traite","Control",42,11.2,38.41,46.5
"BF07","Broye","Organic","2024","Tillecur","Tillecur",42.08,13.7,35.09,34.75
"BT19","Nord","Organic","2023","Evonta","E-beam",42.4,11.1,47.37,50.25
"BF05","Nord","Conventional without fungicide ","2024","Evonta","E-beam",42.48,13.2,33.11,40.75
"BT18","Broye","Organic","2023","Temoin non traite","Control",42.5,10.1,43.14,55.75
"BT07","Chablais","Conventional with fungicide ","2024","Evonta","E-beam",42.76,15.5,32.56,48
"BF10","Centre - Pied du Jura","Organic","2023","Evonta","E-beam",43,9.4,45.5,47.5
"BT16","Nord","Conventional without fungicide ","2023","Evonta","E-beam",43,12.5,47.27,41
"BT07","Chablais","Conventional with fungicide ","2024","Thermoseed","ThermoSeed",43.1,15.3,30.41,42.5
"BT07","Chablais","Conventional with fungicide ","2024","Temoin non traite","Control",43.1,15.6,29.89,44.75
"BT08","Chablais","Organic","2024","Evonta","E-beam",43.1,11.4,45.37,34.25
"BT11","Nord","Conventional without fungicide ","2024","Tillecur","Tillecur",43.25,13.9,35.07,50.5
"BT18","Broye","Organic","2023","Tillecur","Tillecur",43.33,NA,NA,54.5
"BT08","Chablais","Organic","2024","Temoin non traite","Control",43.4,12.6,41.42,34.25
"BT18","Broye","Organic","2023","Thermoseed","ThermoSeed",43.53,NA,NA,55.5
"BF07","Broye","Organic","2024","Thermoseed","ThermoSeed",43.75,14.2,32.89,40.75
"BF07","Broye","Organic","2024","Temoin non traite","Control",43.75,14.4,33.57,42.75
"BT08","Chablais","Organic","2024","Thermoseed","ThermoSeed",43.9,12.7,42.99,33.75
"BT16","Nord","Conventional without fungicide ","2023","Temoin non traite","Control",44,12.7,47.89,40.75
"BT16","Nord","Conventional without fungicide ","2023","Conventionnel","Synthetic",44,13.2,45.22,51
"BT11","Nord","Conventional without fungicide ","2023","Conventionnel","Synthetic",44.1,12.8,41.84,62
"BF07","Broye","Organic","2024","Evonta","E-beam",44.16,13.8,34.23,38.75
"BT20","Centre - Pied du Jura","Conventional without fungicide ","2024","Temoin non traite","Control",44.37,13,35.31,61.75
"BT01","Chablais","Conventional with fungicide ","2024","Temoin non traite","Control",44.63,12.4,31.73,49.25
"BT06","La Cote","Conventional without fungicide ","2023","Evonta","E-beam",44.7,11.8,49.85,63
"BT16","Nord","Conventional without fungicide ","2023","Tillecur","Tillecur",45,12.8,47.74,40
"BT20","Centre - Pied du Jura","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",45.04,12.9,34.7,63
"BT07","Chablais","Conventional with fungicide ","2024","Conventionnel","Synthetic",45.63,14.2,31.71,48
"BT06","La Cote","Conventional without fungicide ","2024","Conventionnel","Synthetic",45.65,12.7,34.39,45
"BT04","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",45.8,14.7,32.97,37.75
"BT05","Chablais","Organic","2024","Evonta","E-beam",46,12.9,33.58,NA
"BT16","Nord","Conventional without fungicide ","2023","Thermoseed","ThermoSeed",46,11.8,47.22,47.75
"BT14","Centre - Pied du Jura","Conventional without fungicide ","2024","Conventionnel","Synthetic",46.4,13.8,33.96,42.5
"BT11","Nord","Conventional without fungicide ","2024","Evonta","E-beam",46.57,13.7,36.35,66.75
"BF08","Nord","Conventional without fungicide ","2024","Tillecur","Tillecur",46.6,9,43.25,37.75
"BT18","Broye","Organic","2023","Evonta","E-beam",46.94,NA,NA,54.5
"BT19","Nord","Organic","2023","Thermoseed","ThermoSeed",47.01,11.1,46.19,57
"BT07","Chablais","Conventional with fungicide ","2024","Tillecur","Tillecur",47.06,14.4,31.6,45
"BT04","Nord","Conventional without fungicide ","2024","Evonta","E-beam",47.2,14.6,33.9,43.25
"BT17","Broye","Conventional without fungicide ","2024","Evonta","E-beam",47.8,12.9,38.19,98
"BT08","Chablais","Organic","2022","Temoin non traite","Control",48,14.8,38.04,NA
"BT14","Centre - Pied du Jura","Conventional without fungicide ","2024","Temoin non traite","Control",48,14.2,35.53,52
"BT15","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",48,NA,NA,NA
"BT14","Centre - Pied du Jura","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",48.2,14.2,33.47,50
"BT14","Centre - Pied du Jura","Conventional without fungicide ","2024","Compost","Other alternatives",48.4,14.2,34.76,34.5
"BT06","La Cote","Conventional without fungicide ","2024","Temoin non traite","Control",48.48,12.2,34,37.25
"BT04","Nord","Conventional without fungicide ","2024","Tillecur","Tillecur",48.5,15.1,33.74,39.5
"BT06","La Cote","Conventional without fungicide ","2024","Evonta","E-beam",48.63,12.9,33.19,41.25
"BT19","Nord","Organic","2023","Temoin non traite","Control",48.7,11.6,47.67,50.5
"BT11","Nord","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",48.77,13,37.7,54.25
"BT11","Nord","Conventional without fungicide ","2024","Conventionnel","Synthetic",48.79,14.2,37.15,52.5
"BT05","Chablais","Organic","2024","Thermoseed","ThermoSeed",49,12.6,33.17,NA
"BT17","Broye","Conventional without fungicide ","2024","Tillecur","Tillecur",49.2,12.7,38.52,76.75
"BF02","Broye","Conventional without fungicide ","2024","Temoin non traite","Control",49.44,13.2,34.04,40
"BT14","Centre - Pied du Jura","Conventional without fungicide ","2024","Evonta","E-beam",49.8,14.2,34.6,47.5
"BT17","Broye","Conventional without fungicide ","2024","Temoin non traite","Control",49.8,13.4,37.23,82.25
"BT04","Nord","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",49.9,14.1,33.63,41.5
"BF08","Nord","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",50.3,9.9,48.21,50.25
"BT04","Nord","Conventional without fungicide ","2024","Conventionnel","Synthetic",50.3,14.2,34.63,42.25
"BT06","La Cote","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",50.3,11.9,33.13,48.75
"BT09","Nord","Organic","2022","Temoin non traite","Control",50.4,11.3,44.1,64
"BF08","Nord","Conventional without fungicide ","2024","Conventionnel","Synthetic",50.6,9.7,45.78,48.25
"BT17","Broye","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",50.6,13,36.6,98.75
"BT03","La Cote","Organic","2024","Thermoseed","ThermoSeed",50.9,10.4,41.05,36.25
"BF08","La Cote","Conventional without fungicide ","2023","Tillecur","Tillecur",51,10.7,45.97,45
"BF08","La Cote","Conventional without fungicide ","2023","Thermoseed","ThermoSeed",51,11.2,46.49,44.75
"BF08","La Cote","Conventional without fungicide ","2023","Temoin non traite","Control",51,12,44.31,49.25
"BF10","Centre - Pied du Jura","Organic","2023","Thermoseed","ThermoSeed",51,9.6,47.23,45.75
"BT02","Broye","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",51,15.1,34.92,35.5
"BT15","Nord","Conventional without fungicide ","2024","Evonta","E-beam",51,NA,NA,NA
"BT11","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",51.01,14.1,37.08,56.75
"BT06","La Cote","Conventional without fungicide ","2024","Tillecur","Tillecur",51.06,13.3,33.29,39
"BT02","Broye","Conventional without fungicide ","2023","Thermoseed","ThermoSeed",51.87,12.3,41.2,59.25
"BF04","Nord","Conventional without fungicide ","2023","Thermoseed","ThermoSeed",51.93,11.5,46.5,45.25
"BT08","Chablais","Organic","2022","Evonta","E-beam",52,14,41.81,NA
"BT15","Nord","Conventional without fungicide ","2024","Tillecur","Tillecur",52,NA,NA,NA
"BT15","Nord","Conventional without fungicide ","2024","Conventionnel","Synthetic",52,NA,NA,NA
"BT13","Chablais","Conventional with fungicide ","2024","Tillecur","Tillecur",52.17,11.7,35.98,49
"BF04","Nord","Conventional without fungicide ","2023","Temoin non traite","Control",52.64,10.4,47.83,47.25
"BF02","Broye","Conventional without fungicide ","2024","Evonta","E-beam",52.77,13.2,35.66,37.75
"BF11","Nord","Conventional without fungicide ","2023","Thermoseed","ThermoSeed",52.78,10.5,46.92,45
"BT05","Chablais","Organic","2024","Tillecur","Tillecur",53,13.7,31.71,NA
"BT15","Nord","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",53,NA,NA,NA
"BT13","Chablais","Conventional with fungicide ","2024","Thermoseed","ThermoSeed",53.04,13.4,34.11,48.25
"BF08","Nord","Conventional without fungicide ","2024","Evonta","E-beam",53.3,9.8,46.44,41.5
"BF02","Broye","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",53.33,13.4,33.16,39
"BT09","Nord","Organic","2022","Nutrizome et vitalsel","Other alternatives",53.4,10.5,45.48,64.25
"BF11","Nord","Conventional without fungicide ","2023","Temoin non traite","Control",53.69,10.1,45.8,47.5
"BT02","Broye","Conventional without fungicide ","2024","Temoin non traite","Control",54,13.6,36.99,38
"BF08","La Cote","Conventional without fungicide ","2023","Evonta","E-beam",54,NA,NA,48
"BT08","Chablais","Organic","2022","Tillecur","Tillecur",54.4,15,39.38,NA
"BT03","La Cote","Organic","2024","Tillecur","Tillecur",54.5,10.5,42.29,40.5
"BF02","Broye","Conventional without fungicide ","2024","Tillecur","Tillecur",55,12.7,34.42,40.75
"BF10","Centre - Pied du Jura","Organic","2023","Temoin non traite","Control",55,10.3,47.55,48.75
"BT02","Broye","Conventional without fungicide ","2024","Tillecur","Tillecur",55,13.8,34.37,39.5
"BT02","Broye","Conventional without fungicide ","2024","Evonta","E-beam",55,14.8,35.66,39.75
"BT13","Chablais","Conventional with fungicide ","2024","Conventionnel","Synthetic",55,11.6,36.33,49
"BT13","Chablais","Conventional with fungicide ","2024","Temoin non traite","Control",55,12.5,35.81,47.5
"BT08","Chablais","Organic","2022","Thermoseed","ThermoSeed",55.2,14,38.62,NA
"BT03","La Cote","Organic","2023","Tillecur","Tillecur",55.35,9.5,46.96,45.5
"BT02","Broye","Conventional without fungicide ","2023","Temoin non traite","Control",55.62,13.5,41.75,57
"BT09","Nord","Organic","2022","Evonta","E-beam",55.8,10.7,43.41,64
"BT03","La Cote","Organic","2023","Temoin non traite","Control",56.15,9,45.72,55.5
