date,traitement,management,habitat,code,SampleID
02.12.2022,NA,conventional,soil,BF08,Res0sem_21D
24.11.2022,NA,organic,soil,BT18,Res0sem_18D
23.11.2022,control,conventional,rhizosphere,BT07,Res0sem_13C
17.11.2022,synthetic,conventional,rhizosphere,BT20,Res0sem_09A
17.11.2022,ThermoSeed,conventional,rhizosphere,BT06,Res0sem_11B
15.11.2022,control,conventional,rhizosphere,BF11,Res0sem_03C
24.11.2022,control,conventional,rhizosphere,BF09,Res0sem_17C
15.11.2022,synthetic,conventional,rhizosphere,BF11,Res0sem_03A
24.11.2022,ThermoSeed,conventional,rhizosphere,BF09,Res0sem_17B
17.11.2022,control,conventional,rhizosphere,BF02,Res0sem_07C
17.11.2022,ThermoSeed,organic,rhizosphere,BT03,Res0sem_10B
23.11.2022,ThermoSeed,conventional,rhizosphere,BT07,Res0sem_13B
01.12.2022,control,conventional,rhizosphere,BT04,Res0sem_20C
17.11.2022,NA,conventional,soil,BT06,Res0sem_11D
23.11.2022,control,conventional,rhizosphere,BT13,Res0sem_12C
01.12.2022,synthetic,conventional,rhizosphere,BT04,Res0sem_20A
17.11.2022,ThermoSeed,conventional,rhizosphere,BT20,Res0sem_09B
15.11.2022,synthetic,conventional,rhizosphere,BT15,Res0sem_06A
17.11.2022,control,organic,rhizosphere,BT03,Res0sem_10C
23.11.2022,ThermoSeed,conventional,rhizosphere,BT16,Res0sem_16B
24.11.2022,Tillecur,organic,rhizosphere,BF07,Res0sem_19A
23.11.2022,NA,conventional,soil,BT13,Res0sem_12D
17.11.2022,control,conventional,rhizosphere,BT20,Res0sem_09C
17.11.2022,Tillecur,organic,rhizosphere,BT03,Res0sem_10A
24.11.2022,Tillecur,organic,rhizosphere,BT18,Res0sem_18A
23.11.2022,ThermoSeed,conventional,rhizosphere,BT13,Res0sem_12B
17.11.2022,synthetic,conventional,rhizosphere,BF03,Res0sem_08A
15.11.2022,NA,conventional,soil,BT11,Res0sem_04D
23.11.2022,ThermoSeed,conventional,rhizosphere,BT17,Res0sem_15B
15.11.2022,synthetic,conventional,rhizosphere,BF01,Res0sem_01A
23.11.2022,control,conventional,rhizosphere,BT16,Res0sem_16C
02.12.2022,synthetic,conventional,rhizosphere,BF08,Res0sem_21A
24.11.2022,control,organic,rhizosphere,BT18,Res0sem_18C
15.11.2022,synthetic,conventional,rhizosphere,BT11,Res0sem_04A
24.11.2022,ThermoSeed,organic,rhizosphere,BF07,Res0sem_19B
24.11.2022,control,organic,rhizosphere,BF07,Res0sem_19C
17.11.2022,synthetic,conventional,rhizosphere,BF02,Res0sem_07A
23.11.2022,synthetic,conventional,rhizosphere,BT13,Res0sem_12A
15.11.2022,NA,conventional,soil,BF01,Res0sem_01D
17.11.2022,ThermoSeed,conventional,rhizosphere,BF02,Res0sem_07B
24.11.2022,ThermoSeed,organic,rhizosphere,BT18,Res0sem_18B
17.11.2022,NA,conventional,soil,BT20,Res0sem_09D
23.11.2022,control,conventional,rhizosphere,BT17,Res0sem_15C
02.12.2022,control,conventional,rhizosphere,BF08,Res0sem_21C
15.11.2022,NA,organic,soil,BT09,Res0sem_05D
15.11.2022,ThermoSeed,organic,rhizosphere,BT09,Res0sem_05B
15.11.2022,control,conventional,rhizosphere,BF01,Res0sem_01C
23.11.2022,control,organic,rhizosphere,BF10,Res0sem_14C
15.11.2022,control,organic,rhizosphere,BT09,Res0sem_05C
15.11.2022,ThermoSeed,conventional,rhizosphere,BF04,Res0sem_02B
01.12.2022,NA,conventional,soil,BT04,Res0sem_20D
17.11.2022,NA,conventional,soil,BF03,Res0sem_08D
15.11.2022,NA,conventional,soil,BF11,Res0sem_03D
15.11.2022,control,conventional,rhizosphere,BF04,Res0sem_02C
17.11.2022,ThermoSeed,conventional,rhizosphere,BF03,Res0sem_08B
15.11.2022,ThermoSeed,conventional,rhizosphere,BF01,Res0sem_01B
15.11.2022,NA,conventional,soil,BT15,Res0sem_06D
24.11.2022,NA,organic,soil,BF07,Res0sem_19D
23.11.2022,NA,conventional,soil,BT16,Res0sem_16D
01.12.2022,ThermoSeed,conventional,rhizosphere,BT04,Res0sem_20B
23.11.2022,NA,conventional,soil,BT17,Res0sem_15D
15.11.2022,ThermoSeed,conventional,rhizosphere,BT11,Res0sem_04B
15.11.2022,synthetic,conventional,rhizosphere,BF04,Res0sem_02A
15.11.2022,control,conventional,rhizosphere,BT15,Res0sem_06C
23.11.2022,synthetic,conventional,rhizosphere,BT07,Res0sem_13A
17.11.2022,control,conventional,rhizosphere,BT06,Res0sem_11C
15.11.2022,ThermoSeed,conventional,rhizosphere,BT15,Res0sem_06B
15.11.2022,ThermoSeed,conventional,rhizosphere,BF11,Res0sem_03B
23.11.2022,ThermoSeed,organic,rhizosphere,BF10,Res0sem_14B
23.11.2022,NA,organic,soil,BF10,Res0sem_14D
24.11.2022,synthetic,conventional,rhizosphere,BF09,Res0sem_17A
17.11.2022,control,conventional,rhizosphere,BF03,Res0sem_08C
23.11.2022,synthetic,conventional,rhizosphere,BT16,Res0sem_16A
23.11.2022,NA,conventional,soil,BT07,Res0sem_13D
15.11.2022,control,conventional,rhizosphere,BT11,Res0sem_04C
15.11.2022,NA,conventional,soil,BF04,Res0sem_02D
02.12.2022,ThermoSeed,conventional,rhizosphere,BF08,Res0sem_21B
17.11.2022,NA,conventional,soil,BF02,Res0sem_07D
17.11.2022,synthetic,conventional,rhizosphere,BT06,Res0sem_11A
23.11.2022,synthetic,conventional,rhizosphere,BT17,Res0sem_15A
24.11.2022,NA,conventional,soil,BF09,Res0sem_17D
